Setting,data,seq_len,label_len,pred_len,e_layers,d_layers,factor,enc_in,dec_in,c_out,train/val/test,time emb,MSE,MAE,RMSE,MAPE,MSPE
2_1_default, Energy, 96, 48, 24, 2, 1,3,16,16,16,3.1.1,, 0.3696799576282501, 0.4024180471897125, 0.6080130934715271, 2.593996286392212, 4660.5576171875
2_4_48seqlen, Energy, 48, 48, 24, 2, 1,3,16,16,16,3.1.1,, 0.330875426530838, 0.37242835760116577, 0.5752177238464355, 2.6088664531707764, 7058.21875
2_4_144seqlen, Energy, 144, 48, 24, 2, 1,3,16,16,16,3.1.1,, 0.3918435871601105, 0.4266170263290405, 0.6259741187095642, 2.8245389461517334, 8216.07421875
2_5_24labellen, Energy, 96, 24, 24, 2, 1,3,16,16,16,3.1.1,, 0.34266397356987, 0.38792625069618225, 0.5853750705718994, 2.62850284576416, 6046.015625
2_5_72labellen, Energy, 96, 72, 24, 2, 1,3,16,16,16,3.1.1,, 0.36110609769821167, 0.3958790898323059, 0.6009210348129272, 2.6169276237487793, 5892.70654296875
2_6_12predlen, Energy, 96, 48, 12, 2, 1,3,16,16,16,3.1.1,, 0.26711952686309814, 0.34191015362739563, 0.5168360471725464, 2.378316640853882, 4507.02685546875
2_6_48predlen, Energy, 96, 48, 48, 2, 1,3,16,16,16,3.1.1,, 0.4594542384147644, 0.45263534784317017, 0.6778305172920227, 2.7377498149871826, 4229.8408203125
2_6_72predlen, Energy, 96, 48, 72, 2, 1,3,16,16,16,3.1.1,, 0.5188547968864441, 0.4971821904182434, 0.7203157544136047, 3.01365065574646, 5114.8564453125
2_7_1encoder, Energy, 96, 48, 24, 1, 1,3,16,16,16,3.1.1,, 0.3751954138278961, 0.42044100165367126, 0.6125319600105286, 2.697977066040039, 5372.83349609375
2_7_3encoders, Energy, 96, 48, 24, 3, 1,3,16,16,16,3.1.1,, 0.3869578242301941, 0.41691845655441284, 0.6220593452453613, 2.7514026165008545, 5478.48095703125
2_8_2decoders, Energy, 96, 48, 24, 2, 2,3,16,16,16,3.1.1,, 0.37519916892051697, 0.40858757495880127, 0.6125350594520569, 2.741088390350342, 6251.16162109375
2_8_3decoders, Energy, 96, 48, 24, 2, 3,3,16,16,16,3.1.1,, 0.3899522125720978, 0.4228515923023224, 0.6244615316390991, 2.9172542095184326, 10620.0029296875
3_2train_1val_2test, Energy, 96, 48, 24, 2, 1,3,16,16,16,2.1.2,, 0.4162037670612335, 0.43447327613830566, 0.6451385617256165, 3.005863666534424, 20218.259765625
4_1train_1val_3test, Energy, 96, 48, 24, 2, 1,3,16,16,16,1.1.3,, 0.46155834197998047, 0.46031445264816284, 0.6793808341026306, 2.871180534362793, 10456.4931640625
6_2factor, Energy, 96, 48, 24, 2, 1,2,16,16,16,3.1.1,, 0.3583018481731415, 0.40111488103866577, 0.5985832214355469, 2.635983943939209, 3850.10400390625
6_1factor, Energy, 96, 48, 24, 2, 1,1,16,16,16,3.1.1,, 0.368847131729126, 0.411998987197876, 0.6073278784751892, 2.829591751098633, 6395.90869140625
6_5factor, Energy, 96, 48, 24, 2, 1,5,16,16,16,3.1.1,, 0.3530920445919037, 0.39061683416366577, 0.5942155122756958, 2.45512056350708, 3013.286376953125
